Address	Ordinal	Name	Library
828AA49C	83	KeBugCheckEx	xboxkrnl.exe
828AA4AC	283	RtlCompareMemoryUlong	xboxkrnl.exe
828AA4BC	282	RtlCompareMemory	xboxkrnl.exe
828AA4CC	310	RtlRaiseException	xboxkrnl.exe
828AA4DC	253	NtWaitForSingleObjectEx	xboxkrnl.exe
828AA4EC	327	RtlUnwind	xboxkrnl.exe
828AA4FC	82	KeBugCheck	xboxkrnl.exe
828AA50C	338	KeTlsAlloc	xboxkrnl.exe
828AA51C	339	KeTlsFree	xboxkrnl.exe
828AA52C	341	KeTlsSetValue	xboxkrnl.exe
828AA53C	340	KeTlsGetValue	xboxkrnl.exe
828AA54C	93	KeEnableFpuExceptions	xboxkrnl.exe
828AACFC	321	RtlTryEnterCriticalSection	xboxkrnl.exe
828AAD0C	580	XeKeysGetKey	xboxkrnl.exe
828AAD1C	577	XeKeysGetKeyProperties	xboxkrnl.exe
828AAD2C	345	XeCryptAesKey	xboxkrnl.exe
828AAD3C	346	XeCryptAesEcb	xboxkrnl.exe
828AAD4C	584	XeKeysQwNeRsaPrvCrypt	xboxkrnl.exe
828AAD5C	368	XeCryptBnQw_SwapDwQwLeBe	xboxkrnl.exe
828AAD6C	334	vsprintf	xboxkrnl.exe
828AAD7C	394	XeCryptRandom	xboxkrnl.exe
828AAD8C	401	XeCryptShaFinal	xboxkrnl.exe
828AAD9C	400	XeCryptShaUpdate	xboxkrnl.exe
828AADAC	399	XeCryptShaInit	xboxkrnl.exe
828AADBC	365	XeCryptBnQwNeRsaPubCrypt	xboxkrnl.exe
828AADCC	364	XeCryptBnQwNeRsaPrvCrypt	xboxkrnl.exe
828AADDC	363	XeCryptBnQwNeRsaKeyGen	xboxkrnl.exe
828AADEC	395	XeCryptRc4Key	xboxkrnl.exe
828AADFC	396	XeCryptRc4Ecb	xboxkrnl.exe
828AAE0C	553	XMAGetOutputBufferWriteOffset	xboxkrnl.exe
828AAE1C	563	XMASetInputBuffer1	xboxkrnl.exe
828AAE2C	554	XMASetOutputBufferReadOffset	xboxkrnl.exe
828AAE3C	549	XMAInitializeContext	xboxkrnl.exe
828AAE4C	562	XMASetInputBuffer0	xboxkrnl.exe
828AAE5C	552	XMADisableContext	xboxkrnl.exe
828AAE6C	551	XMAEnableContext	xboxkrnl.exe
828AAE7C	550	XMAReleaseContext	xboxkrnl.exe
828AAE8C	557	XMAIsOutputBufferValid	xboxkrnl.exe
828AAE9C	558	XMASetInputBuffer0Valid	xboxkrnl.exe
828AAEAC	555	XMAGetOutputBufferReadOffset	xboxkrnl.exe
828AAEBC	561	XMAIsInputBuffer1Valid	xboxkrnl.exe
828AAECC	548	XMACreateContext	xboxkrnl.exe
828AAEDC	556	XMASetOutputBufferValid	xboxkrnl.exe
828AAEEC	559	XMAIsInputBuffer0Valid	xboxkrnl.exe
828AAEFC	560	XMASetInputBuffer1Valid	xboxkrnl.exe
828AAF0C	301	RtlInitUnicodeString	xboxkrnl.exe
828AAF1C	255	NtWriteFile	xboxkrnl.exe
828AAF2C	210	NtCreateFile	xboxkrnl.exe
828AAF3C	240	NtReadFile	xboxkrnl.exe
828AAF4C	320	RtlTimeToTimeFields	xboxkrnl.exe
