Address	Ordinal	Name	Library
828AA9AC	29	NetDll_WSACreateEvent	xam.xex
828AA9BC	30	NetDll_WSACloseEvent	xam.xex
828AA9CC	31	NetDll_WSASetEvent	xam.xex
828AA9DC	32	NetDll_WSAResetEvent	xam.xex
828AA9EC	33	NetDll_WSAWaitForMultipleEvents	xam.xex
828AA9FC	34	NetDll___WSAFDIsSet	xam.xex
828AAA0C	101	NetDll_XnpLoadConfigParams	xam.xex
828AAA1C	102	NetDll_XnpSaveConfigParams	xam.xex
828AAA2C	103	NetDll_XnpConfigUPnP	xam.xex
828AAA3C	104	NetDll_XnpConfig	xam.xex
828AAA4C	105	NetDll_XnpGetConfigStatus	xam.xex
828AAA5C	106	NetDll_XnpLoadMachineAccount	xam.xex
828AAA6C	107	NetDll_XnpSaveMachineAccount	xam.xex
828AAA7C	108	NetDll_XnpCapture	xam.xex
828AAA8C	109	NetDll_XnpEthernetInterceptSetCallbacks	xam.xex
828AAA9C	110	NetDll_XnpEthernetInterceptXmit	xam.xex
828AAAAC	111	NetDll_XnpEthernetInterceptRecv	xam.xex
828AAABC	112	NetDll_XnpLogonGetStatus	xam.xex
828AAACC	113	NetDll_XnpLogonGetQFlags	xam.xex
828AAADC	114	NetDll_XnpLogonSetQFlags	xam.xex
828AAAEC	115	NetDll_XnpLogonSetQEvent	xam.xex
828AAAFC	116	NetDll_XnpLogonClearQEvent	xam.xex
828AAB0C	117	NetDll_XnpLogonGetQVals	xam.xex
828AAB1C	118	NetDll_XnpLogonSetQVals	xam.xex
828AAB2C	119	NetDll_XnpLogonSetPState	xam.xex
828AAB3C	120	NetDll_XnpGetVlanXboxName	xam.xex
828AAB4C	121	NetDll_XnpSetVlanXboxName	xam.xex
828AAB5C	122	NetDll_XnpGetActiveSocketList	xam.xex
828AAB6C	123	NetDll_XnpNoteSystemTime	xam.xex
828AAB7C	124	NetDll_XnpRegisterKeyForCallerType	xam.xex
828AAB8C	125	NetDll_XnpUnregisterKeyForCallerType	xam.xex
828AAB9C	309	XNetLogonGetMachineID	xam.xex
828AABAC	536	XamUserGetOnlineCountryFromXUID	xam.xex
828AABBC	535	XamUserGetMembershipTierFromXUID	xam.xex
828AABCC	791	XamSessionRefObjByHandle	xam.xex
828AABDC	790	XamSessionCreateHandle	xam.xex
828AABEC	600	XamContentCreate	xam.xex
828AABFC	601	XamContentCreateEx	xam.xex
828AAC0C	603	XamContentDelete	xam.xex
828AAC1C	618	XamContentInstall	xam.xex
828AAC2C	602	XamContentClose	xam.xex
828AAC3C	615	XamContentFlush	xam.xex
828AAC4C	608	XamContentSetThumbnail	xam.xex
828AAC5C	609	XamContentGetThumbnail	xam.xex
828AAC6C	610	XamContentGetCreator	xam.xex
828AAC7C	614	XamContentGetLicenseMask	xam.xex
828AAC8C	604	XamContentCreateEnumerator	xam.xex
828AAC9C	605	XamContentCreateDeviceEnumerator	xam.xex
828AACAC	613	XamContentGetDeviceState	xam.xex
828AACBC	606	XamContentGetDeviceData	xam.xex
828AACCC	607	XamContentGetDeviceName	xam.xex
828AACDC	611	XamContentLaunchImage	xam.xex
828AACEC	592	XamEnumerate	xam.xex
828AB09C	781	XamVoiceHeadsetPresent	xam.xex
828AB0AC	783	XamVoiceClose	xam.xex
828AB0BC	504	XMsgCancelIORequest	xam.xex
828AB0CC	782	XamVoiceSubmitPacket	xam.xex
828AB0DC	780	XamVoiceCreate	xam.xex
